Hawking primary spectra for each particle types.
energy/particle         photon         gluons          higgs            W+-             Z0      neutrinos       electron           muon            tau             up           down          charm        strange            top         bottom       graviton
    1.77533e-07    3.31344e-01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.71074e+08    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    8.16932e-19
    1.80963e-07    3.50421e-01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.77514e+08    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    8.99527e-19
    1.84459e-07    3.70595e-01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.84197e+08    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    9.90473e-19
    1.88022e-07    3.91932e-01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.91131e+08    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.09061e-18
    1.91654e-07    4.14496e-01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.98326e+08    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.20088e-18
    1.95356e-07    4.38360e-01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.05791e+08    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.32229e-18
    1.99130e-07    4.63598e-01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.13538e+08    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.45598e-18
    2.02976e-07    4.90289e-01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.21577e+08    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.60318e-18
    2.06897e-07    5.18516e-01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.29918e+08    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.76527e-18
    2.10894e-07    5.48369e-01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.38573e+08    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.94375e-18
