Hawking secondary spectra for each particle type.
energy/particle         photon       electron           nu_e          nu_mu         nu_tau         proton
    5.41300e-04    2.13135e+25    4.93008e+25    5.39207e+25    3.18113e+23    3.05771e+14    0.00000e+00
    5.69500e-04    2.02701e+25    5.27134e+25    5.13029e+25    3.43335e+23    3.37263e+14    0.00000e+00
    5.99200e-04    1.92975e+25    5.48588e+25    4.89365e+25    3.92154e+23    3.72082e+14    0.00000e+00
    6.30400e-04    1.84387e+25    5.54008e+25    4.62474e+25    4.39641e+23    4.10403e+14    0.00000e+00
    6.63200e-04    1.74958e+25    5.51402e+25    4.34790e+25    4.90322e+23    4.52624e+14    0.00000e+00
    6.97700e-04    1.67045e+25    5.45222e+25    4.02347e+25    5.28092e+23    4.99229e+14    0.00000e+00
    7.34100e-04    1.58475e+25    5.32389e+25    3.75315e+25    5.93371e+23    5.50742e+14    0.00000e+00
    7.72300e-04    1.52070e+25    5.13101e+25    3.49124e+25    6.44893e+23    6.07418e+14    0.00000e+00
    8.12500e-04    1.45747e+25    4.90410e+25    3.20419e+25    7.07189e+23    6.69995e+14    0.00000e+00
    8.54800e-04    1.37851e+25    4.67954e+25    2.93207e+25    7.87949e+23    7.38972e+14    0.00000e+00
    8.99300e-04    1.31404e+25    4.38641e+25    2.69433e+25    8.42760e+23    8.15068e+14    0.00000e+00
    9.46100e-04    1.25329e+25    4.13469e+25    2.44453e+25    9.40292e+23    8.99008e+14    0.00000e+00
    9.95400e-04    1.19721e+25    3.86335e+25    2.21841e+25    1.00623e+24    9.91639e+14    0.00000e+00
    1.04700e-03    1.13670e+25    3.58878e+25    2.02095e+25    1.11089e+24    1.09333e+15    0.00000e+00
    1.10200e-03    1.08288e+25    3.28688e+25    1.81630e+25    1.22070e+24    1.20700e+15    0.00000e+00
    1.15900e-03    1.03433e+25    3.01643e+25    1.64862e+25    1.34135e+24    1.33041e+15    0.00000e+00
    1.21900e-03    9.93272e+24    2.74392e+25    1.48098e+25    1.44001e+24    1.46669e+15    0.00000e+00
